ID,PID,CONTEXT,TYPE,FILL_OF,EXMETHOD,DESCRIP,COMPSN,NOTES
745,C745,1681,F,0,,Yellow edge of pit [1680].,Yellow sandy clay  Deposit of varying thickness. Very high &#037; of clay.,
751,C751,1687,D,0,,Possible floor of Room 4.,,May have been caused by worm and plough action.
752,C752,1688,D,0,,"Charcoal layer, extending from NE edge of pit [1021].",1. Black  2. Charcoal 40cm x 50cm x 45mm thick,Seen on N edge of cut [1021] underlying clay lining the pit.
763,C763,1699,C,0,Trowel,Small pit containing first century pottery and (1679).,Roughly circular  with no corners 45cm diameter x 95cm deep although fill not seen all the way up. Sides nearly vertical and base concave.,Truncated by pit 1438 cutting NW corner of diagonal building partially excavated.
764,C764,1700,C,0,,Linear trench with a ragged and irregular cut.  740cm long by 110cm wide by 20cm deep. Runs along line of wall 1187.,,"Robber trench. Removed down to one course of flint wall, and backfilled with material similar to floor make up in rooms 6 and 7."
767,C767,1703,C,0,Trowel,"Unexcavated post hole/pipe, S frontage of diagonal building",Beneath clay floor. 50cm diameter,"Recorded as will probably be lost in 1999 site clearance. Only post pads/pipe visible filled with 9 flints, 15cm approximately."
770,C770,1706,S,0,Trowel,"Flint wall with many clay inclusions and cut  by pit 1707, house 1&#063;",45cm wide x 25-33cm long,Set into yellow clay layer Wall return heading NW from wall 1552 at 90 degrees. Porch entrance wall possibly.
776,C776,1712,D,0,,Deposit revealed when base of pit 1666 overcut. Not fully removed.,"1.Mid greyish brown   2. Firm   3. Fine sandy silt  4. 5-15% flints, sub angular to sub rounded, 2-6mm 76cm wide x 11cm deep Unclear edge definition",No stratigraphic relationships?
778,C778,1714,D,0,,Make up layer of yellow clay and brick earth.,"1. Light yellow grey 2. Friable  3. Sandy clay  4. 15-35% sub angular to sub rounded, bands of small gravel, 6-10cm.",Uppermost surviving make-up level within the diagonal building.
779,C779,1715,D,0,,Layer (and fill of 1722) seen elsewhere within diagonal building.,"1. Yellow grey sandy clay and mid brownish grey silty sand  with 40% gravel inclusions, sub angular to sub rounded, 6mm-6cm. 10-55cm thick.","Sloping down in section towards east. Seen insection of pit cut [1295]. General dumping layer and mixture of clay, brick earth and gravel."
780,C780,1716,D,0,,Layer seen in [1295] in S entrance porch area of diagonal building.,1. Mid brownish grey   2. Friable   3. Silty sand  4. 50% sub angular to sub rounded gravel 2mm-60mm in size 10cm-20cm thick.,Seen elsewhere within building and in other pit cuts.
781,C781,1717,D,0,Trowel,Occupation deposit,"Soft-fraible, light grey / yellow sandy clay   Inclusions: 15% stones (S-R) (R) (6-20mm) (2-6cm);  1% CBM 10cm thick for 3m",Also observed a similar or same deposit in other cuts of pits within diagonal building. Patchy rather than a continuous layer. 18/07/02 Update: Clay layer (1717) under (3683)=(1716) which was a dirty clay spread and is probably an occupational deposit but contained barely any finds. Strat above (1718). Completely removed in 2005. Plan no: 15.95
782,C782,1718,D,0,Trowel,Occupation deposit,"Soft, mid-brown / grey silty sand<br />  <p class=',
783,",
783,C783,1719,D,0,,Occupation layer,"Friable, light grey / yellow clayey silt Inclusions: 15-35% stones (S-A) (2-6cm);&nbsp; 5% bone<br /> Extent: 2.54m x 0.92m;&nbsp;&nbsp; Thickness: 0.05m Clear edge definition","Occupation layer slumping partly into pit [1722]. Originally identified and part-excavated in 1998 where it was seen throughout the section in the porch area and in cuts of pits throughout diagonal building. Wall flints 1552 and 1706 were set into this. Similar to (1717), (1715) and (1723) although not stratigraphically the same. Strat below (6876), (6877), (1716), (1717). Cut by [1459], [1650], [1707], [2057]. Completely removed in 2006.Plan no: 15.201Section no: 102 Sample no: 1598 (XRF) Accuracy rating - 4"
784,C784,1720,D,0,,An unexcavated deposit of burnt /scorched brick earth seen in 1295.,1.Mid brownish red   2. Friable and compact  3. Sandy clay 4. occasional sub rounded to sub angular stones of 2mm-4cm 4cm thick and very regular,Appears within cut 1295 and 1707 and seems to go below wall 1552 but butts against a possible earlier wall just visible in 1295.  May indicate an episode of destruction within the house.
785,C785,1721,F,0,,Gravelly fill of a possible cut [1724] observed only in section 102.,1. Mid brownish grey  2. Partly loose   3. Silty sand   4. 15-20% sub angular to sub rounded stones of 2-30mm. 11cm thick,"Observed in side of pit cut [1295], but onlyin NE corner. Seems to be filling cut 1724, the depression of which has caused the deposits above to slump downwards."
787,C787,1723,D,0,,Deposit underlying burnt floor surface (1720).,"1. Mid greyish brown   2. Medium compact   3. Silty sand   4. 60-70% gravel, sub angular to sub rounded stones, 2mm-4cm. 17cm thick",Seen only in  section 102 of [1295] pit cut.
796,C796,1732,D,0,Trowel,Floor surface / levelling deposit,"Compact, light grey / yellow silty clay Inclusions: 40% stones (S-R) (15-35mm) Extent: 0.8m in length;   Thickness: 0.1m (max) Clear edge definition","The compaction of this context and the lack of \'rubbish\' type finds suggests a single, intentional deposition such as a floor surface. It could also be an isolated levelling deposit. Strat below (1717). Strat above (6509). Completely removed in 2005. Plan no: 15.170 Section no: 102"
799,C799,1735,D,0,Trowel,Pea gravel layer covering gritty spread (1734).,2. Loose  3. Fine pea gravel  100% gravel 2-5mm 1-5cm thick,Covers exactly the same extent as 1734 and therefore not planned. South of southernmost wall of diagonal building.
806,C806,1742,S,4008,Trowel,"Robbed out wall aligning with (1187) and (1743), house 1.","Flints of 10-15cm in size and unworked, 1 course as excavated and facings NW and SE. Bonded by clay, CBM and stones 703cm long x 46cm wide x 10cm high.",Could be part of earlier and later phases of the diagonal building/House 1. Originally planned as (1074) in error - records were amended in 2002. Plan number is now 1742. Completely removed in 2002 Plan no: 1742
807,C807,1743,D,0,Trowel,"Small section of wall in House 1 butting 1162, replacing earlier number 1159.","Flints of 10-15cm, unworked. 3 poorly sorted courses with the bottom course narrow but widening at the top course. Bonded by by aggregate mix of fine gravel, silt and CBM crush. No mortar surviving. Facings are facing Nw and SE and wall is 85cm long x 66cm wide x 8cm high.","Wall 1743 abutts wall 1162/1163 and it is more than likely that it also abutted wall 1161in the area truncated by the Ogham pit (1170). Therefore, 1743 would appear to have been a very short partition defining a very small room between walls 1161, 1746, and 1743. 1743 is the latest addition enclosing the little room to the NW. Otherwise - quite flimsy construction with just enough spare within the construction cut to fit the wall in, unlike wall 1745 which has a side trench filled with aggregate. Section no: 345"
808,C808,1744,S,4009,Trowel,"SE aisle wall of House 1/ diagonal building, replacing earlier number 1159.",Flint nodules of 31cm and 10-20cm which are roughly faced. Two regular courses and an internal face facing NW and external SE. Bonded with clay and some CBM 22cm high x 188cm long x 52cm wide. Clear edge definition.,Upper course is not as wide as the lower. Truncated to the NE by pit [1307] and terminates at SW end parallel to the southern termination of the NW aisle wall. It was originally planned as 1159 - amended in 2002. Completed removed in 2002 Plan no: 1744
809,C809,1745,D,0,Trowel,"Robbed out wall on SE frontage of House 1, connected to 1160 and replacing earlier number 1159.","Flints of 10-15cm in size, unworked and 1-2 courses, Facings are NW-SE and wall measures 172cm x 63cm wide x 18cm high.",Context has not been excavated
810,C810,1746,S,0,Trowel,External wall of the SW House,5 courses of a wall foundation constructed from a mixture of faced and knapped flints measuring on average 0.13m x 0.12m (max) / 0.05m x 0.05m (min) Direction of faces: NW-SE Bonded by fine gravels and loamy degraded mortar,"Wall 1746 makes up the southern external wall of the SW House. Same as wall 1160 and adjoined by and sharing the same build as partition walls 1161 and 1162. In 2002, wall 1746 was exposed at footing level from the junction with 1162 to the SW corner of the building where the the adjoining wall is removed by robber trench [3636]. Wall 1746 was robbed here to footing level by robber cut [4017]. Towards the SE corner of the SW House, wall 1746/1160 is removed (any robbing is obscured by Victorian trench [1558]). Completely removed in 2003. Found to be the same build as all walls of the SW House. 1746 is an external wall of the SW House and is part of 1160. Plan no: 12.92 Section no: 496, 525, 505 Accuracy rating - 5"
817,C817,1753,D,0,,Backfill in robber trench [1798].,"Light brown, silty coarse sand, fine and powdery. Contains 15-35&#037; small rounded pebbles and gravels. 4metres long x 110cm wide x 10cm thick.","NE of wall (1336), overlies foundation course 1141 and wall 1798. Context is completely removed. Plan numbers 11.01/11.07"
820,C820,1756,D,0,Trowel,Context assigned to surface cleaning in 1999,"Dark grey brown, friable and hard clay silt. Contained pottery, CBM and bone.","Covers the area along the southern frontage of the diagonal building and in areas 14,15,22,23,13,12,11. removed immediately after de-backfilling and before specific contexts were identified."
821,C821,1757,D,0,,Compacted gravel floor make-up. This overlies construction layer for later building.,"Mid grey brown, griity and friable, slightly silty coarse sand with gravel and flint inclusions up to 5cm, 90-95&#037;. Approximately 20 cm maximum thickness and 0.75m x 4.60m.",2.02-2.04-ß<BR>-ß<BR>North eastern part of 1757 has not been planned although edge may be shown on plan 2.07 and is digitised as this. If 1757 is still present then this edge should be checked in 2001. Noted on card as extending as far as 1818 so edge of 1818 followed<SPAN CLASS='id'>[19/01/2001 RSHAFFREY]
825,C825,1761,D,0,Trowel,Dark spread overlying gravel spread,"Grey brown, friable silt and containing large fragments and chipping, very soft bone, pottery, charcoal and a nail. Sub-rounded and 6-20mm in size.  5cm maximum thickness but variable. also patchy carbonisation. Trowelled in sunny conditions.",Occupation layer seen in section of Victorian trench 1009 and overlying clay 1806 and gravel 1734/1735.  Context has been completely removed.
826,C826,1762,C,0,,Post-hole cut filled by (1763).,"Ovoid shaped 20cm x 24cm and 24cm deep. Sharp break of slope at top, gradual at base with uneven, irregular sides and flattish base.",
827,C827,1763,F,0,,Fill of post-hole [1762]. <I>[ 01/01/2004]</I>,"Dark greyish brown, friable, sandy silt containing 5-15&#037; gravel pebbles, sub-angular to sub-rounded, 2mm-20mm. 23cm diameter. Trowelled in dry conditions.",Context has been completely removed. Plan number  16.02
828,C828,1764,D,0,,Standing baulk of clay and gravel cut by Vict. trenches.,"Light brown sand and gravel, firm with frequent gravel and pebbles. Occasional fragments of charcoal and CBM. 35-70&#037; sub-rounded gravel of 2-6cm.  Clear edge definition.",May be remaining part of later floor surface. Contemporary with 1768. Context now completely removed. Plan numbers 11.02 and 11.04
831,C831,1767,F,0,,"Lower fill of post-pipe, component of [1762]. <I>[ 01/01/2004]</I>","10YR 2/1 Black, sandy silt, friable. Contained 35-70&#037; stones and very small amounts of CBM. 14cm diameter x 5cm thick. Excavated by trowelling in dry conditions.",Context has been completely removed.
832,C832,1768,D,0,Trowel,"Thick gravel floor surface in Room 6, house 1, laid at the same time as 1188.","dark grey brown, coarse silty sand with >70% small flints and pebbles and pea gravel, sub-rounded, 6mm-6cm in size. 600cm x 405cm and up to 30cm thick.",Plan numbers 11.06 and 2.05 and 11.03(maybe)
835,C835,1771,D,0,,Primary fill of robber trench [1535],"Dark yellowish brown, friable sandy clay. 17cm thick and containing clumps of moist orange clay, 15-35&#037; sub angular to sub rounded pebbles.  Trowelled in sunny dry conditions",Context has been completely removed.  Section 112.
836,C836,1772,D,0,,Primary fill of [1535].,,Identified when [1535] was overcut. Has been partially removed.
839,C839,1775,D,0,Trowel,Fill of shallow pit [1777].,"2.5Y 3/1, compacted, silty clay. Contained 35-70% flint gravel, sub-angular to sub-rounded, 2mm-6cm. 6cm thick x 3.7m extent.  Large spread containing some soft bone.  Removed by trowel and mattock in hot dry conditions.  Diffuse edge definition.",Boundary between this fill and spread [1915] is very poor.  Context has been completely removed.  Plan  number 21.02
841,C841,1777,C,0,Trowel,Pit cut filled by (1775).,"Circular depression, 1.6m x 0.9m. Very slight break of slope at top and indiscernable at base. Very shallow sides and flat/irregular base.",Plan number 21.02
844,C844,1781,C,0,Trowel,Cut for shallow scoop coming down onto tesselated floor [2095].,"Circular - 60cm diameter x 8cm deep. Sharp breaks of slope, vertical sides and flat base. Clear edge definition.",Context has been completely removed. Plan number 15.31 (of 2056) and 15.43 (of 2095). Section 156.
847,C847,1784,C,0,,"Cut containing (1790) and (1792), possibly a hearth.","Circular, 108cm x 7cm deep. Gradual break of slope at top and bottom, gentle slope and a flat base. Clear edge definition.","High charcoal content of (1792) and evidence of heat reddened clay suggest this was a hearth, probably the same as 1820. Plan number 16.07  (of fill 1790) and section 114. Fills have been removed."
851,C851,1788,D,0,Trowel,Slumped floor make-up above a sunken earlier room in Room 4.,,"Was laid above walls (2004), (2022) and (2057). Previously supposed pits have shown themselves to be floor slumps. Context has been completely removed."
854,C854,1790,D,0,Trowel,Sub-circular feature cut by trench [1095].,"Dark greyish brown 10YR 4.2, friable sandy silt copntaining 15% small stones, nails and some CBM. 0.90m x 0.46m in extent. Clear edge definition.",Possible Victorian disturbance. Plan number 16.07  and section 114.
856,C856,1792,F,0,,Layer of fill with high charcoal content below (1790).,"Black, friable silty sand, Occasional burnt clay and charcoal and 5-15&#037; gravel pebbles, sub-angulat to sub-rounded. 6cm deep x 96cm x 23 cm. Excavated by trowel in sunny / dry conditions.",Context has been completely removed.  Section 114. Plan numbers 16.09 and 16.11
860,C860,1796,D,0,Trowel,Slump in floor make-up.,"Dark grey, friable, sandy clay with no inclusions. Excavated in hot dry and sunny conditions.",Produced evidence for possible metalworking. Context has been completely removed.
861,C861,1797,D,0,Trowel,"Remains of partially robbed wall 1188, House 1.","Flint nodules on average about 29cm in size and unworked.  1 course of stones and probably an inner wall. Orientated SE-NW. Wall is 1.60m long, .70m wide and 10cm high.","Similarity to wall 1188, may mean that this section of wall was also retained as a post-pad for a timber structure.  This context has not been excavated. Plan numbers 11.06 and 11.08. Section no: 350"
862,C862,1798,C,0,Trowel,Robber cut along wall 1141 and 1797 - continuation of 1241 and filled with 1753.,"Linear shaped, 5.45 m long by 80cm wide and 15cm deep. roughly sloping sides with irregular break of slope at top and bottom. Roughly shallow and U-shaped.",Context has been partially removed. Plan numbers 11.01 and 11.07
864,C864,1800,D,0,,Primary fill of possible furnace [1802].,"Yellowish red, friable clayey silt. 1-5&#037; pebbles of 2-6cm in size  61cm wide x 7cm deep. Excavated by trowelling in sunny dry conditions.",Context comletely excavated Section 113. Plan of cut [1802] - 16.15
866,C866,1802,C,0,,"Cut for possible fire pit / furnace containing (1447, 1448 and 1800).","61cm wide  x 13cm deep. Sharp break of slope at top, gradual at base, nearvertical sides and flat base",Context completely excavated. Section 113 and plan 16.15
872,C872,1808,D,0,,Hard clay floor surface with roof and floor tiles laid upon it.,"Light yellow brown, fine clay sand, firm.  Contains 1-5&#037; sub rounded gravel, 6-20mm.  190cm x 110cm x 10cm thick. Excavated by trowelling in dry conditions.",Cut through by possible construction cuts for earlier walls. Plan numbers 11.09 and 11.10. Context has not been excavated (99).
873,C873,1809,D,0,Trowel,"Gravel floor in room 5, laid  up against 1188.","Mid brown sand, fine and friable. Includes >70% gravel/small flints and pebbles, sub-rounded and 6mm-6cm in size. 540cm long x 40cm wide and 10cm thick.",Context has been completely removed.  Plan numbers 2.06 and no section relating to this.
874,C874,1810,D,0,,Fill of post-hole [1811] connected to the west side of [1802].,"2.5Y 2.5I Black, friable, clayey silt with 1-5&#037; pebbles,  and red pottery. 16 x 20 wide but inner black fill 6.5cm x 8cm and 19cm deep so far.  Excavated so far in sunny and dry conditions.",Context is partially removed (23/07/99). Plan number of cut [1811] 16.16
875,C875,1811,C,0,,"Cut of west fill of hole, part of 1802.",16 x 20 wide and 19cm deep so far.  sharp break of slope at top and vertical sides.,Context is partially removed.  Plan number 16.16
876,C876,1812,D,0,,"Fill of east part of hole, part of [1802].","2.5Y 2.5/1 Black, friable, clayey silt.  1-5% pebbles of varying sizes and red pottery. 26cm wide x 12.5cm and inner fill 6 x 8cm and 8cm deep. Trowelled in sunny dry conditions and with clear edge definition.",Context has been completely removed. Plan number 16.17
877,C877,1813,C,0,Trowel,"Cut of east fill of hole, part of [1802] containing (1812).","Sharp break of slope at top but gradual at base, near vertical sides and flat base.",Context has been completely removed. Plan number 16.17
882,C882,1818,D,0,Trowel,Clay floor surface within room 5.,"Brownish yellow, clay sand, gritty with frequent small gravels. 580 x 470cm x 8cm deep.",This is the construction horizon for later buidlings and will not be excavated until other areas are contemporary.  plan numbers 2.07 and 2.08 Butts up against the walls of the earlier building and is cut through by construction trenches of later building.
884,C884,1820,C,0,,Cut for possible hearth containing (1531).,"Cicrular cut, 112cm x 8cm deep. Gradual break of slope at top and base, gradual sides 45 degrees, and slightly concave base. Clear edge definition.",Context has been completely removed. For plan see  cut [1531] and plan number 16.30
896,C896,1832,D,0,,Backfill to buried wall (1161).,"Light grey, sandy silt, coarse and gritty and containing 15-35% pebbles and small flints.  170cm x 50cm x 20cm thick. Excavated by mattock and trowel.",Partially exacavated in 1997. May be part of the demolition of an earler building.  Context has been completely removed. plan number 11.11
908,C908,1844,D,0,Trowel,Dark garden soil,"Coarse and gritty, dark grey / brown silty sand<BR>Inclusions: 45% gravel and pebbles; 15-70% stones (S-R) (R) ranging in size from 2mm (peagravel) to 6cm<BR>Extent: 10.3m x 7.2m;&nbsp;&nbsp; &nbsp;Thickness: 0.13m, reducing to 0.04m and then to 0.01m at the edge of the spread towards depression.<BR>Edge definition: Clear onto (1845), otherwise quite diffuse  {}","Dark garden soils in the south west corner of site. Context was partially removed within a box section in 1999. Partially removed in 2001 between Victorian trenches [1011] amd [1204]. Completely removed in 2003 after removing the remaining part of the context in between Victorian trenches [1204] and [1013] and between the western baulk and House 1 at the gable end of 1150. Strat below (1275) and (3365). Strat above (1845). Cut by [1011] and [4352]. It has been established that (3392) is the same deposit as (1844), but located to the north west of Victorian trench [1013]. It probably has an equivalent deposit south east of Victorian trench [1204], as yet unexcavated. <BR>Plan no: 1.02<BR>Section no: 126<BR>Sample no: 422<BR>Spot Date: 50-100AD/125AD  {}"
909,C909,1845,D,0,Trowel,Layer of fine gravels below dark earth spread,Light grey gravel containing >70% angualr 2-6mm gravel. 5cm thick maximum.,Context has been partially removed from within a box section.
910,C910,1846,D,0,Trowel,Gravel infill to shallow ditch 1847.,"Mid grey, slightly silty sand, very gritty and coarse with >70% frequent gravels. 13cm thick box section.",Finds from this context included on 1844. Context has been partially removed from within a box section. Plan number 1.02 and section 126.
911,C911,1847,D,0,Trowel,Wide shallow ditch seen in Box section.,"possibly linear, greater than 140cm wide and 20cm deep. Gradual break of slope at top and base, gently sloping sides and flat base.  Roughly orientated E-W with a wide shallow shape in profile.","Context is partially removed, from within box section. Plan number 1.02 and section 126."
912,C912,1848,D,0,Trowel,Spread of gravel overlying natural and cut by ditch [1847].,"Dark brown, silty sand, coarse and gritty containing 5-15% gravel, sub-angulatr and 6mm-6cm in size.",This context has been partially removed from within  a box section. Plan number 1.02 and section 126.
913,C913,1849,D,0,Trowel,Layer of naturally deposited glacial sand and pebbles/gravel.,"light grey, sandy, coarse, containing 5-15% gravels and flints, sub-rounded and 6mm-6cm. 13cm maximum thickness.",Context has been partially removed from within a box section. Plan number 1.02 and section number 126.
914,C914,1850,D,0,Trowel,Naturally deposited layer of fine clay/sand.,"reddish ornage, silty sandy clay. Very few rounded gravel of 6-20mm. 17cm maximum thickness. Box section.",Context has been partially removed from within box section. Plan number 1.02 and section 126.
915,C915,1851,D,0,Trowel,Naturally deposited layer of clay and gravel.,"Reddish brown, sandy clay, very coarse with 35-70% sub-rounded, 6-20mm gravel. Box section.",Plan number 1.02 and section 126. Context has only been excavated where the box section was put through.
921,C921,1857,C,0,Trowel,Robber trench for wall 1161.,"Sharp corners with sharp break of slopes, vertical sides and flat though irregular base.",Context has been completely removed. Plan numbers 11.12
927,C927,1863,F,0,,Fill of pit [1864].,"Very dark greyish brown, 10YR 3/2, friable and silty with 5-15&#037; small gravel and some clay and darker patches. Heat reddened silt/clay and gravel at edges. 10&#037; gravel, 1&#037; clay. Trowelled in hot dry and sunny conditions.",May be the same feature as 1874 and 1878 but no relationship can be established because of Victorian intrusion. Context has been completely removed. Plan number 16.19
928,C928,1864,C,0,,Fragment of pit cut containing (1863).,"Circular, 18-20cm deep. Sharp break of slope at top, almost vertical slightly concave sides. base truncated by [1095]. Clear edge definition.",Possibly forming a single feature composed of [1875] and [1879]. Truncation by trench [1095] has destroyed any relationship. Context has been removed. Plan number 16.27
933,C933,1869,D,0,,Gravel floor make up in Room 6.,Fine gravel make up,Context has not been excavated but given a number for planning. Needs attention and further description in 2000.
938,C938,1874,F,0,,Fill of pit [1875].,"10YR 3/2, very dark greyish brownn, friable, sandy silt. Contained 1-5&#037; gravel pebbles  6-20mm, 2-6cm and yellow clay. 24cm thick. Trowelled in dry sunny conditions.",May be the same fill as (1863) and (1878) but these have all been truncated by [1095] and the relationships therefore lost. The form of the cuts seem to correspond. Context has not been excavated. Plan number 16.22
939,C939,1875,C,0,,Fragment of pit cut filled by (1874).,"Circular, 24cm deep x 41cm. Sharp break of slope at top, almost vertical, slightly concave sides. Base truncated by [1095]. Clear edge definition.",Possibly forming a single feature composed of [1864] and [1879]. Truncation by trench [1095] has destroyed any relationship. Context has been removed. Plan number 16.28
942,C942,1878,F,0,Trowel,Possible layer of fill below (1863) and (1874).,"10YR 3/2, very dark greyish brown, friable, sandy silt containing 35-70&#037; gravel pebbles and yellow clay of 2&#037;. 8cm thick x 34cm diameter. Trowelled in dry and sunny conditions. Clear edge definition.",Relationship between fills lost to Victorian intrusion but possibly forms part of pit consisting of [1864] and [1875]. Context has been completely excavated. Plan number 16.23
943,C943,1879,C,0,,Cut for pit containing (1878).,"Circular, 36cm diameter x 8cm depth. gradual break of slope at base and a slightly concave base. Clear edge definition.",Possibly the base of pit formed by [1864] and [1875]. Truncation by trench [1095] has destroyed any relationships between the three cut numbers. Plan number 16.29.
944,C944,1880,S,0,,North east wall of room 1 in House 1,"Flint nodules (faced, 12-15cm) and CBM (14cm). Facing NE (external) and SW (internal), 44cm wide x 230cm long. Clear edge definition.","Appears to be overlain by clay makeup same as the rest of Room 1, suggesting the demolition of this wall to produce a larger unit with wall (1553) now acting as an external wall. It has also been partly robbed out by robber trench [1535]. It has not been removed and will need planning in 2000"
947,C947,1883,F,0,,Fill of post-hole [1930],"Dark grey 2.5Y 4/1, friable, sandy clay. 1-5&#037; gravel and occasional charcoal. 15cm deep. Trowelled in damp conditions.","Context has been completely excavated.  Plan numbers 16.35,16.37 and 16.39. Section 138."
948,C948,1884,F,0,,Fill of stake-hole [1891].,"Dark brown, loose, sandy silt containing 1-5&#037; gravel stones, sub-angular and 2mm-20mm. 6cm diameter x 16cm deep. Trowelled in dry and sunny conditions. Clear edge definition.",Truncated by cut for shallow pit [1917]. Context has been completely removed.  Plan number 16.33
954,C954,1890,C,0,Trowel,"Post-hole cut filled by (1889),with post-pipe.","Circular and 50cm x 36cm x 13cm deep.  Sharp break of slope at top but gradual at base with steep sides, and irregular slightly concave base.  Clear edge definition",Plan number 17.03
955,C955,1891,C,0,,Cut for stake hole filled by (1884).,Circular and approximately 6cm diamater and currently 19cm deep. Sharp break of slope at top with vertical sides and clear edge definition.,Context has been partially removed. Truncated by shallow pit [1917]. Plan number 16.34
956,C956,1892,D,0,Trowel,Area of fire hardened clay in centre of floor surface.,"5YR 6/8, reddish yellow, friable, sandy clay containing 1-5% gravel pebbles, sub-rounded and 2-6mm. 52cm x 49cm Unclear edge definition.",Context has not been excavated. Plan number 16.24
957,C957,1893,F,0,Trowel,"Gravel fill in SE corner of Room 2, House 1.","A dark grey, 2.5Y 4/1, compact, sandy clay containing 35-70% sub round gravel of 6-20mm. c. 0.08m thick. Irregular but clear edge defintion. Trowelled and mattocked in dry sunny conditions.",Partly overlying wall (1533). Possibly represents repair. Has been completely removed. Plan 15.06
958,C958,1894,D,0,Trowel,Area of fire hardened clay on floor surface.,"5YR 4/6 yellowish red, friable, sandy clay containing 1-5% gravel pebbles, sub-rounded and 2-6mm. 94 x 46cm Uncleard edge defintion.",Context has not been excavated. Plan number 16.26
964,C964,1900,D,0,Trowel,Clay make-up layer in NW and NE aisles of House 1.,"Mid yellowish brown, friable silty clay containing sub round gravel of 6mm-6cm and occasional CBM. 2cm thick. Clear edge definition.",Has not been removed nor planned and will need planning in 2000
969,C969,1905,F,0,Trowel,Clay make-up layer below flint cobbled surface in Room 3.,"Light yellowish brown, compact and clayey. Contained 1-5% stones and occasional flint nodules.  Of variable depth - 5-30cm. Excavated by mattock/trowel in dry conditions.","Context has been partially excavated.  Plan numbers 15.14, 15.15, 10.02 and 10.03"
971,C971,1907,F,0,Trowel,Fill of robber trench [1911].,"Dark brown, friable, clayey silt with 35%, sub-angular to sub-rounded gravel. 4cm thick x 2.04 cm extent. Trowelled in warm and showery conditions.",Context has been completely removed. Section 134
975,C975,1911,C,0,Trowel,"Cut running NE-SW on same alignment as wall (1533), house 1.","16cm deep x 204cm long x 58cm wide. Sharp break of slope at top, gradual at base and roughly 45 degree sides. Flat base where there is charcoal, irregular where there is clay. SW-NE.",Cut does not appear to continue along the back wall (NW wall) of Room 1.  Plan number 15.08
976,C976,1912,D,0,Trowel,"Clay make-up layer in Room 2, House 1.","Mid yellowish brown, friable, silty clay containing  sub round to rounded gravel of 6mm-6cm. 17cm thick x 620cm extent. Clear edge definition.",Has not been removed. Plan numbers 15.47 and 16.63
977,C977,1913,C,0,,Cut in NE corner of Room 2 filled by (1893).,"Amorphous/irregular - 8cm deep x 170cm extent (max). Sharp break of slope at top, gradual at base with gently sloping sides and irregular base. Clear edge definition.","Possible floor repair. See plan of fill (1893), 15.06"
978,C978,1914,D,0,Trowel,Dark spread/surface N-E of (1170).,"Dark grey, friable, sandy clay containing 5-15% sub rounded flint gravel of 6-20mm. Excavated by mattock and trowel in hot, dry and sunny conditions.","Possible aisle /corridor to House 1 Plan numbers 10.01, 11.13 and 15.10, 15.21 and 15.48"
979,C979,1915,D,0,Trowel,Spread of mixed material in NE corner of Room 1.,"Very dark greyish brown, friable, clayey silt. 15-35% gravel and pebbles, sub-angular to rounded and 2mm-6cm. 8cm thick x 204cm extent. Trowelled in warm and showery conditions.",Also lies within the top of the robber cut [1911].  Context has been completely removed. Section 134 but not planned
981,C981,1917,C,0,Trowel,Cut for shallow pit containing (1531).,"Semi-circular, 111cm long x 34cm wide. Gradual break of slope at top and base, shallow sides (20 degree angle) and base truncated by [1095].",Possibly associated with [1784] but relationships destroyed by trench [1095]. Context has been completely excavated. Plan number 16.32
984,C984,1920,D,0,,Metalled surface spread,,No card but must be at least partly removed as it has produced finds. No plan
986,C986,1922,D,0,,Gravel and brick fragmented floor surface.,"Yellowy brown, sandy, gritty and friable, containing >70% flints and gravels, sub-rounded","South-east of wall 1142. Cut by ogham pit and overlying a clay floor surface, part of the aisle frontage of later building.  Context has been completely excavated.  Plan numbers 11.14 and 11.16"
987,C987,1923,D,0,,Fill of post-pipe [1930]. <I>[ 01/01/2004]</I>,"Olive grey, 5Y 4/2, friable, sandy clay containing 15-35&#037; gravel pebbles, sub-angular and 6-20mm. 10cm thick x 28cm extent. Trowelled in dry and windy conditions.","Context has been completely removed. Plan numbers 16.35, 16.37 and 16.39 and section 138."
990,C990,1926,D,0,,Spread of homogenous material.,"10YR 3/3, dark brown, friable, clay silt. 15-35&#037; pea gravel and pebbles. 8cm thick x 320cm extent.  Excavated by mattock and trowel in windy and sunny conditions.",Cut by [1091] and [1038] but the same as (2018). Context has been completely removed. Plan number 21.09
994,C994,1930,C,0,,Post-hole cut filled by (1883).,"Circular, 54cm diameter x 14.2cm deep. Sharp breaks of slope, almost vertical sides and a flat base. Clear edge definition.","Fill has been completely removed. Plan numbers 16.35, 16.37 and 16.39 Section 138."
998,C998,1934,D,0,Trowel,Mixed fill of shallow pit [1991].,"Very dark grey, compact, silty clay. Contained 15-35% stones, gravel and pebbles, sub-angular to sub-rounded and 2-6cm. 22cm thick x 2.25m extent. Trowelled in sunny dry conditions.",Context has been completely excavated. Plan number 21.07.
1010,C1010,1946,F,0,,Fill of small post-hole [1947].,"Dark grey, silty sand, fine with occasional small angular stones and CB< 78cm extent x 24cm thick",Must have been excavated because cut has been. See plan of 1947 10.04
