"REC_TYPE","FNO","TYPE","DETAILS"
"BF",12642,"D",
"BF",12681,"D","1 bag"
"BF",12683,"D","1 bag"
"BF",12684,"D","2 bags"
"BF",12687,"D","1 bag"
"BF",12688,"D","1 bag"
"BF",12690,"D","1 bag"
"BF",12682,"D","Unident, 95x90x15, 1950g, Maple leaf shape (kept), 1999 Flue Tile, 60x30x20, 100g, Overlapping combing (kept), 1999"
"BF",12711,"D","1 bag"
"BF",12713,"D","1 bag with print"
"BF",12714,"D","1 bag"
"BF",12718,"D","1 bag"
"BF",12712,"D","Tegula, 65x100x55, 1000g, Paw Print(kept), 1999"
"BF",12721,"D","1 bag"
"BF",12728,"D","1 bag"
"BF",12722,"D",
"SF",1204,"D","<p><span></span>Plain tapering shaft from pin, needle, etc.</p><p>[N.Crummy 18/05/06]</p>"
"SF",1204,"C","<SPAN>Deselected.</SPAN>"
"BF",12751,"D","1 bag from 1999"
"BF",12753,"D","3 bags from 1999"
"BF",12755,"D","1 bag"
"BF",12758,"D","1 bag from 1999"
"BF",12760,"D","1 bag"
"BF",12752,"D","Flue Tile, 50x35x25, 50g, (kept), 1999"
"SF",1078,"D","<p>Curved strip fragment, possibly the flange from a stud head or boss</p><p>[N.Crummy 18/05/06]</p>"
"SF",1078,"C","<SPAN>Deselected.</SPAN>"
"SF",1082,"D","Worked flint."
"SF",1074,"D","Calcite fragments."
"SF",1077,"D","Colchester BB Derivative brooch, complete apart from the pin and part of the chord. There are two nicks at the base of the bow. The catchplate is solid. [4/04/2006 N.Crummy]"
"SF",1077,"C","COLEM: C050879. Date in: 21-09-05. Date finished: 20-02-06. Condition: Covered with thin crust of compacted corrosion and soil. Has a pale green/brown patinated surface, roughened by shallow pitting and other surface loss. This has exposed paler torquoise corrosion overlying the core, some possibly active. Treatment: Removed corrosion/soil - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum. Rinsed - IMS. Dried - air. Lacquered - Incralac, 50% in toluene."
"SF",1142,"D","<p>Samian Base stamp (1999)</p><p><table style="
"SF",1143,"D","<p>Stem fragment from clay tobacco pipe, with small round foot at junction with bowl</p><p>[N.Crummy 18/05/06]</p>"
"SF",1143,"C","<p>Deselected</p><p>[N.Crummy 18/05/06]</p>"
"BF",12881,"D","3 bags in 1 box"
"BF",12883,"D","including flue tile and sandal print, 1 bag"
"BF",12884,"D","3 bags"
"BF",12885,"D","1 bag"
"BF",12886,"D","1x tessera of Dolomite Cementstone, 1998<br /><span style="
"BF",12887,"D","1 bag kept"
"BF",12888,"D","1 bag"
"BF",12890,"D","1 bag"
"BF",12882,"D","Unident 90x70x15, 2550g, Diagonal Scoring (kept), 1999 Unident 120x70x40, 2350g, Hobnail Pattern (kept), 1999 Flue Tile, 50x40x20, 50g (kept), 1999"
"BF",12921,"D","1 bag"
"BF",12924,"D","1 bag"
"SF",1180,"D","<p>Opaque, black, plano-convex.</p><p>[N.Crummy 18/05/06]</p>"
"SF",1180,"C","<p>Deselected</p><p>[N.Crummy 18/05/06]</p>"
"SF",1069,"D","Large Alice Holt pot sherd - Flat rim jar, early 2nd century AD."
"BF",12968,"D","1 bag"
"BF",12961,"D","3 bags"
"BF",12963,"D","1 bag including patterned piece"
"BF",12964,"D","5 bags including metalworking evidence"
"BF",12965,"D","1 bag"
"SF",1175,"D","Hammer scale from iron working.  Evidence of fire welding (from 3 spheres) which indicates professional blacksmithing, and calcium fragments which are associated with forging (D. Sim, 2/8/99)."
"SF",1246,"D","Fragments of a vitrified material, possibly glass.  It has a glassy surface with a green hue.  Fragments of hearth lining and slag (KT 26/04/06)"
"SF",1247,"D","<p><span></span>Convex headed stud</p><p>[N.Crummy 18/05/06]</p>"
"SF",1247,"C","<SPAN>Deselected.</SPAN>"
"SF",1254,"D","<p>Fragment of bone hinge unit with dowel hole</p><p>[N.Crummy 18/05/06]</p>"
"SF",1254,"C","<p>Deselected</p><p>[N.Crummy 18/05/06]</p>"
"SF",1257,"D","<p><span></span>Two strips of U-shaped binding.</p><p>[N.Crummy.18/05/06]</p>"
"SF",1257,"C","<SPAN>Deselected.</SPAN>"
"BF",12962,"D","Unident, 100x70x20, 3750g, Side Mark (kept), 1999"
"BF",12976,"D","1x tessera of Dolomite Cementstone, 2001<br /><span style="
"BF",13007,"D","1 bag"
"BF",13002,"D",
"BF",13081,"D","1 bag"
"SF",2228,"D","<p>Small oval black stone, section tapers along its length. Looks like waterworn gravel rather than a man-made item</p><p>[N.Crummy 18/5/06]</p>"
"SF",2228,"C","<p>Deselected</p><p>[N.Crummy 18/05/06]</p>"
"BF",13092,"D",
"BF",13108,"D","1 bag"
"BF",13111,"D","Roman 1 bag, 2000"
"BF",13181,"D","Roman including Samian 1 bag 2001"
"BF",13183,"D","Pawprint 1 bag 2001"
"BF",13184,"D","Nails 1 bag 2001"
"BF",13188,"D","Animal including teeth 1 bag 2001"
"BF",13190,"D","Charcoal 1 bag 2001"
"SF",2233,"D","Naturally-occuring flint spheroid. Possibly collected and curated as a curiosity. [11/04/2006 N.Crummy]"
"SF",2269,"C","<SPAN>COLEM: C210606. &nbsp;Date in: 06-12-01. Date finished: 18-01-02. Condition: Brooch is encrusted with burial deposits mixed with powdery corrosion. These have been partially rubbed away on the front of the brooch. Beneath, there are considerable areas of surviving plating overlying a surface of pale friable corrosion products which has made the plated layer very fragile. The back and catchplate have a compact green patina with small areas of loss revealing the same friable surface. Area of hard iron corrosion where the pin was previously attached. Some areas have traces of active corrosion. Treatment: Removed&nbsp; corrosion/burial deposits &nbsp;- small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum. Rinsed - IMS. &nbsp;Air dried. Lacquered - Incralac, 50% in toluene. </SPAN>"
"SF",2269,"D","Hod Hill type,decorated with white metal plating ?tin; with small damaged lugs at top of bow; bow has marginal mouldings with ?punched dots; central mouldings knurled, and broad flanking mouldings. Bow seperated from foot by transverse mouldings; foot plain with transverse mouldings before slight toe.<br /><span style="
"SF",2452,"D","<P><SPAN></SPAN>Nail shank fragment.</P>"
"SF",2452,"C","<SPAN>X-ray no: CX668</SPAN>"
"BF",13321,"D","1 bag from 1999"
"BF",13324,"D","1 bag from 1999"
"BF",13327,"D","1 bag kept"
"BF",13328,"D","1 bag"
"BF",13441,"D","1 bag from 1999 Roman including Samian and Green Glaze 6 bags <422> 2001 Roman including Samian 2002"
"BF",13441,"D","Roman including Samian. 4 bags 2003. <669> Closed Context"
"BF",13444,"D","2 bags from 1999 Nails 1 bag <422>, Slag 1 bag <422>, Other 1 bag 2001"
"BF",13444,"D","Slag 1 bag, Nails 400g <669>2003. Closed Context"
"BF",13448,"D","1 bag from 1999 Animal and Teeth 1 bag <422> 2001"
"BF",13448,"D","Animal including teeth. 1100g 2003. <669> Closed Context"
"BF",13442,"D",
"BF",13443,"D","Tesserae 1 bag <422> 2001"
"BF",13443,"D","Tesserae. 1 bag 2003 Closed Context"
"BF",13445,"D","Roman 1 bag <422> 2001"
"BF",13445,"D","Roman 1 bag 2003 Closed Context"
"BF",13446,"D","2 bags Tesserae, 1 bag Worked Stone 2001"
"BF",13446,"D","Tesserae. 1 bag 2003 Closed Context"
"BF",13449,"D","Glass and Glass Slag 1 bag 2001"
"BF",13450,"D","Charcoal 1 bag 2001"
"BF",13450,"D","Charcoal. 1 bag 2003 Closed Context"
"SF",2022,"D","<p>Stamped Samian sherd (...WM)? (2001)</p><p><table style="
"SF",2123,"D","Samian ware base with graffiti"
"SF",2169,"D","Ceramic gaming piece"
"SF",2179,"D","Samian graffito - hatching"
"SF",2190,"D","Red/yellow pot with glaze (sherd). Squared pattern"
"SF",2194,"D","<p>Stamp in base of Samian vessel. (OFCALVI) (2001)</p><p><table style="
"SF",2197,"D","Miscasting of a coin with sprue attached; part of a legend on one side -/(O)CAE/-"
"SF",2197,"C","<SPAN>COLEM: C210589. Date in: 06-12-01. Date finished: 19-01-02. Condition: Surface covered with powdery burial deposits and corrosion. These overlie a friable blackened surface. Beneath this are the remains of a dark green patina, but this is extremely fragile and has large areas of loss, particularly upon the shaft. This latter has an exposed surface of cuprite with areas of pale powdery corrosion. Although this does not appear to be actively corroding. Treatment: Removed burial deposits / corrosion - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum. Rinsed - IMS. &nbsp;Air dried. Lacquered - Incralac, 50% in toluene</SPAN>"
"SF",2202,"D","Samian Stamp.  ( AIIVIIA...)<br /><span gray="" style="">[SWILLIAMS 1999]<br /><br /></span><font size="
"SF",2204,"D","Ceramic 'horn'. Possible pestle? (See Crummy, N. pg. 77  fig. 2088)"
"SF",2205,"D","Small fragment, probably with decorative edge."
"SF",2205,"C","<SPAN>COLEM: C210591. Date in: 06-12-01. Date finished: 18-01-02. Condition: Surface covered with thin layer of powdery corrosion and burial deposits. Beneath is a mid-green patina but this is very pitted, particularly towards one edge. The edges of fragment are likewise very deteriorated and are irregular with areas of loss. Treatment: Removed burial deposits / corrosion - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum. Rinsed - IMS. &nbsp;Air dried. Lacquered - Incralac, 50% in toluene</SPAN>"
"SF",2206,"D","Fragment of Samian stamp (4 pieces). '....IC'"
"SF",3022,"D","."
"SF",3022,"D","<SPAN>A few very small fragments of a round mirror of high-tin bronze (speculum).</SPAN>"
"SF",3022,"C","<SPAN>COLEM: C040656. Date in: 03-08-04. Date finished: 12-08-04. Condition: Poor: very embrittled. All encrusted/embrittled in soil. Some retain a smooth metallic mirror surface but the larger fragments are suffering from severe corrosion which has destroyed this surface and is causing delamination of the structuure. Treatment<SPAN>: Removed corrosion - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum. Rinsed - IMS. Dried air. Laquered - Incralac, 50% in toluene</SPAN> </SPAN>"
"SF",3040,"D","Cu object fashioned into a 'U' shape. Two fragments."
"SF",3044,"D","Copper alloy brooch pin. Environmental sample &lt;669&gt; [sig:17/09/2003 SWILLIAMS]<br /><br />Pin from a bow brooch with one coil from the spring.<br /><span style="
"SF",3044,"C","COLEM: C060161. Date in: ---03-06. Date finished: 29-03-06. Condition: Initially encrusted with thin compacted layer of green/brown corrosion and soil. Green/brown surface beneath, smooth in part but pitted with surface loss. Treatment: Removed soil/corrosion - small handtools. Degreased - acetone. Stabilised - BTA, 3% in vacuum. Rinsed - IMS. Dried - air. Lacquered - Incralac, 50% in IMS."
"SF",3049,"D","<P><SPAN></SPAN>Hod Hill brooch, pin missing, bow &amp; catchplate damaged. Central knurled moulding and plain marginal mouldings. Transverse mouldings between bow &amp; foot. (Entry&nbsp;amended by N Crummy).</P>"
"SF",3049,"C","<SPAN>COLEM: C040663. Date in: 03-08-04. Date finished: 13-08-04. Condition: Poor: pin missing and catchplate cracked/distorted. Encrusted with thick layer of amorphous, gritty corrosion. Remains of a dark, compact surface beneath this, but this has sustained various ares of loss which has exposed a core of pale friable corrosion. This appears to be active. Treatment<SPAN>: Removed corrosion - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum. Rinsed - IMS. Dried air. Laquered - Incralac, 50% in toluene</SPAN> </SPAN>"
"SF",3049,"D","<SPAN>Hod Hill brooch, pin missing, bow and catchplate damaged. Central and marginal mouldings on bow, transverse mouldings between bow and foot.</SPAN>"
"SF",3055,"D","Section of gold link."
"SF",3055,"O","Given to Mike Fulford 06/05/04 to be passed on for chemical analysis"
"SF",3069,"D","Triangular shaped fragment of shale."
"SF",3076,"D","cu alloy pin - incomplete"
"SF",3156,"D","Gaming counter made from base of pot. Broken on one side."
"SA",669,"D","<SPAN>29 litres of soil processed in 2003. Exposed for minutes only, contaminated with insects, roots, weeds. Large piece of sbg removed. Sample taken because of suspected charred plant remains.</SPAN>"
"BF",13451,"D","Roman including Samian 1 bag 2001 ---- <br />Roman 1 bag 2003 [sig:27/10/2003 SWILLIAMS]<br />Roman pottery, 200g 2006<br /><span style="
"BF",13454,"D","Nails 1 bag 2001"
"BF",13454,"D","Nails 10g 2003"
"BF",13455,"D","Roman 1 bag 2001"
"BF",13455,"D","Roman 1 bag 2003"
"BF",13456,"D","Tesserae 1 bag 2001"
"BF",13458,"D","Animal 1 bag 2001 ---- <br />Animal including teeth. 150g 2003 [sig:27/10/2003 SWILLIAMS]<br />Animal bone 2006<br /><span style="
"SF",3499,"D","<SPAN>Large sherd of pottery with a dark green/brown glaze.&nbsp; Pattern is ?indented into the wall and the fabric is oxidised red with a reduced layer of grey in the centre.</SPAN>"
"BF",13464,"D","Nails 5g 2003"
"BF",13461,"D","<p>Roman 1 bag 2003 [sig:27/10/2003 SWILLIAMS] </p><p>Roman pottery including Samian 900g 2005<span class="
"BF",13468,"D","<p>Animal bone 2003 [sig:27/10/2003 SWILLIAMS] </p><p>Animal bone including teeth 50g 2005<span class="
"SF",4065,"D","Reeded Langton Down Brooch. Early - dates late 1st Century. Pre- or very early post-conquest. Very straight bow with linear grooves running down the length. Pin attached but corroded to the back of the bow. Catchplate broken. Spring casing complete. (J.Creighton pers.comm. re date) Ref: Roman Brooches in Britain p.150. See also SF4045. [sig:S Williams 25.3.2006]  Langton Down brooch, most of pin missing and catchplate damaged. Square head; fluted bow with knurled central ridge. [27/04/2006 N.Crummy]"
"SF",4065,"C","COLEM: C050980. Date in: 21-09-05. Date finished: 08-02-06. Condition: Pin missing, and with losses to catchplate. Covered with thin crust of greyish corrosion and gritty soil. Dark patina beneath, roughened by areas of bulkier green corrosion and surface loss. Break edges have exposed pale friable corrosion in the core, and the whole is extremely embrittled. Small fragment of spring housing fragmented off during cleaning. Treatment: Removed corrosion/soil - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum. Rinsed - IMS. Dried - air. Lacquered - Incralac, 50% in toluene. Readhered fragment - cellulose nitrate (HMG Restoration Adhesive)"
"BF",13491,"D","1 bag from 1999"
"BF",13648,"D",
"BF",13642,"D",
"BF",13692,"D",
"BF",13741,"D","1 bag  from 1999"
"BF",13831,"D","1 bag from 1999"
"BF",13834,"D","1 bag from 1999"
"BF",13901,"D","1 bag from 1999"
"BF",13934,"D","1 bag including hobnail from 1999"
"BF",13937,"D","1 bag kept from 1999"
"BF",13932,"D",
"SF",1476,"D","<p>Valens, 364-78 (E.Besly 22.6.06)</p><p><span style="
"SF",1476,"C","<SPAN>COLEM: C200258. Date in: 04-04-00. Date finished: 08-06-00. Condition: Good condition. Good patina. Heavily worn. Minor corrosion. Treatment: Removal of&nbsp;corrosion&nbsp;using small handtools. Degreased&nbsp;with Acetone. Stabilised&nbsp;in BTA, 3% in IMS under vacuum. Rinsed&nbsp;in IMS. &nbsp;Air dried. Lacquered&nbsp;using Incralac, 50% in toluene </SPAN>"
"BF",14007,"D","1 bag kept from 1999"
"BF",14001,"D","1 bag from 1999"
"BF",14004,"D","3 bags from 1999"
"BF",14002,"D",
"BF",14051,"D","1 bag from 1999 Roman 1 bag 2001"
"BF",14054,"D","1 bag from 1999 Nail 1 bag 2001"
"BF",14058,"D","1 bag from 1999 Animal 1 bag 2001"
"SF",1255,"D","The foot of a Langton Down brooch, with longitudinal mouldings. Parts of the catchplate survive. [4/04/2006 N.Crummy]"
"SF",1255,"C","COLEM: C050889. Date in: 21-09-05. Date finished: 20-02-06. Condition: Covered with thin hardened crust of grey/green corrosion, ingrained with soil. Surface beneath has a roughened mid-green patina, disrupted slightly by surface loss. Embrittled and has suffered losses aound edges. Treatment: Removed corrosion/soil - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum. Rinsed - IMS. Dried - air. Lacquered - Incralac, 50% in toluene."
"BF",14052,"D","Brick, Flat, 140x130x50, 2500g, Swipe Marks, 1999"
"BF",14053,"D","Brick Tile with coating and Flat Brick 1 bag 2001"
"BF",14071,"D","1 bag from 1999"
"BF",14074,"D","2 bags from 1999"
"BF",14078,"D","1 bag from 1999"
"BF",14072,"D",
"BF",14121,"D","Roman 1 bag 2001"
"BF",14123,"D","Inclusions 1 bag 2001"
"BF",14124,"D","Nails 1 bag 2001"
"BF",14126,"D","1x Dolomite Cementstone tessera, 3.15g 2001<br /><span style="
"BF",14128,"D","Animal including teeth 1 bag 2001"
"BF",14129,"D","Slag 1 bag 2001"
"SF",2264,"D","<P><SPAN></SPAN>Sheet fragment with one edge curved.</P>"
"SF",2264,"C","<SPAN>X-ray no: UBAS1</SPAN>"
"SF",2319,"D","Pot sherd with black residue on the inside"
"BF",14141,"D","Roman inc Samian 1 bag from 1999 1 bag, 2000"
"BF",14144,"D","1 bag from 1999 1 bag (282), 2000"
"BF",14147,"D","1 bag kept from 1999"
"BF",14148,"D","1 bag from 1999"
"BF",14151,"D","1 bag from 1999"
"BF",14154,"D","2 bags from 1999"
"BF",14158,"D","1 bag from 1999"
"BF",14160,"D","Oyster shell, 3.18g 1999"
"BF",14152,"D",
"BF",14201,"D","1 bag from 1999"
"BF",14204,"D","1 bag from 1999"
"BF",14206,"D","1 bag from 1999"
"BF",14202,"D",
"BF",14221,"D","1 bag from 1999"
"BF",14222,"D",
"BF",14231,"D","1 bag from 1999"
"BF",14234,"D","1 bag from 1999"
"BF",14238,"D","1 bag teeth only from 1999"
"BF",14261,"D","1 bag from 1999"
"BF",14263,"D","1 bag from 1999"
"BF",14264,"D","1 bag from 1999"
"BF",14268,"D","1 bag from 1999"
"BF",14262,"D","Flue Tile, 40x20x15, 10g, 2 Pieces (kept), 1999"
"SF",1231,"D","<p>Valens, 364-78 (E.Besly 22.6.06)</p><p><span style="
"SF",1231,"C","<P>COLEM: C200224. Date in: 04-04-00. Date finished: 08-06-00. Condition: Corroded edges. Reasonable patina. Heavily worn. Treatment: Removal of&nbsp;corrosion using&nbsp;small handtools. Degreased&nbsp;with Acetone. Stabilised&nbsp;in BTA, 3% in IMS under vacuum. Rinsed&nbsp;in IMS. &nbsp;Air dried. Lacquered&nbsp;with Incralac, 50% in toluene </P>"
"SF",1232,"D","Nauheim Derivative brooch, pin separate, catchplate missing. The bow is pitted by corrosion but was probably plain. [30/03/2006. N. Crummy]"
"SF",1232,"C","COLEM: C050887. Date in: 21-09-05. Date finished: 13-03-06. Condition: Poor and incomplete; most of catchplate and spring missing and pin is detached. The rest is covered with a thin hardened crust of green corrosion and ingrained soil. Roughened and pitted surface beneath with localised traces of a smoother compact surface. The surface losses have exposed areas of paler friable corrosion in the core, which is active and which has embrittled the whole. Treatment: Removed corrosion/soil - small handtools.Degreased - acetone. Stabiliised - BTA, 3% in IMS under vacuum. Rinsed - IMS. Dried - air. Lacquered - Incralac, 50% in toluene."
"BF",14341,"D","1 bag from 1999"
"BF",14344,"D","1 bag from 1999"
"BF",14347,"D","1 bag kept from 1999"
"BF",14348,"D","1 bag from 1999"
"BF",14342,"D",
"BF",14462,"D",
"BF",14481,"D","1 bag from 1999"
"BF",14482,"D",
"BF",14521,"D","1 bag from 1999"
"BF",14524,"D","1 bag from 1999"
"BF",14526,"D","1 bag from 1999"
"BF",14522,"D",
"BF",14541,"D","1 bag from 1999"
"BF",14544,"D","1 bag from 1999"
"BF",14611,"D","Roman including Samian 1 bag 2001"
"BF",14613,"D","Flat brick with chevron incision 1 bag 2001"
"BF",14614,"D","Nails 1 bag 2001"
"BF",14615,"D","Roman 1 bag 2001"
"BF",14618,"D","Animal including teeth 1 bag 2001"
"BF",14753,"D","1 bag"
"BF",14758,"D","<p>1 bag </p><p>Animal bone 10g 2005<span class="
"BF",14751,"D","<p>Large fragment of pot lid. Wheel made. Lid handle is still present. Heavy burning residue on exterior of lid. <span class="
"BF",14752,"D","Flue Tile, 70x65x10, 150g, Waved Combing (kept), 1999"
"BF",14754,"D","Fe nails 2005<span class="
"BF",14768,"D","1 bag"
"BF",14861,"D","1 bag"
"BF",14864,"D","2 bags"
"BF",14866,"D","1 bag"
"BF",14868,"D","1 bag"
"BF",14862,"D",
"SF",1250,"D","<P><SPAN></SPAN>Very small fragment.</P>"
"SF",1250,"C","<SPAN>Deselected.</SPAN>"
"BF",14891,"D","2 bags"
"BF",14893,"D","1 bag"
"BF",14894,"D","1 bag"
"BF",14895,"D","1 bag"
"BF",14898,"D","1 box"
"BF",14900,"D","Oyster shell 679.72g 1999"
"BF",14892,"D","Flue Tile, 25x15x15, 20g, (kept), 1999"
"BF",15011,"D","Roman 1 bag, 2000"
"BF",15014,"D","Nails 1 bag 2001"
"BF",15018,"D","Animal including teeth 1 bag 2001"
"BF",15041,"D","Roman 1 bag 2003"
"BF",15044,"D","Nails 2g 2003"
"BF",47314,"D","Fe nails 25g 2004"
"BF",15051,"D","1 bag"
"BF",15054,"D","1 bag"
"BF",15058,"D","1 bag"
"BF",15052,"D",
"BF",15068,"D","1 bag from 1999"
"SF",1260,"D","Small, opaque, black."
"SF",1260,"C","<p>Deselected</p><p>[N.Crummy 18/05/06]</p>"
"BF",15091,"D","1 bag Roman 1 bag 2001"
"BF",15093,"D","Including print"
"BF",15094,"D","1 bag Nail 1 bag 2001"
"BF",15096,"D","51x mixed material tesserae, consisting of Dolomite Cementstone x42, Red Burnt Rock Mudstone x7, Orange Burnt Rock Mudstone x1, Ceramic fabric x1,&nbsp; 2001<br /><span style="
"BF",15092,"D","Unident, 70x40x20, 1500g, Finger Impression (kept), 1999"
"BF",15095,"D","Roman 1 bag 2001"
"BF",15097,"D","Pebble 1 bag 2001"
"BF",15098,"D","Animal 1 bag 2001"
"SF",2013,"C","COLEM: C210569 Date in: 06.12.01 Date finished: 15.01.02 Condition: Surface overlain by thick layer of gritty burial deposits mixed with powdery corrosion. Beneath is a grey- green patina with some very slight, shallow pitting. The flatter side has more severe bulky corrosion which has disrupted the surface, although none of it appears active. Treatment: Removed burial deposits/corrosion - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum. Rinsed - IMS. Air dried. Lacquered - Incralac, 50% in toluene"
"SF",2013,"D","<p>Pelta-shaped foot from copper-alloy vessel; traces of solder on back. See Tassinari 1975; Feugere 1981; Sedlmayer 1999; Le Cloirec 2001. Similar to those on the carinated metal strainer bowl in the Stanway healer's grave (Colchester), and a crumpled strainer plate from the same Object (50046) was found at Silchester in 2005 season - SF 2958. The Silchester plate and foot may come from a similar vessel. If so, they would be, together with a complete strainer bowl from Alchester, the most westerly examples of these objects, which are a Trinovantian/Catuvellaunian type.<br /></p><p>[N.Crummy 18/05/06]</p>"
"BF",15182,"D",
"BF",15221,"D","Roman 1 bag 2003"
"BF",15224,"D","Nails. 1g 2003"
"BF",15228,"D","Animal including teeth. 50g 2003"
"BF",15231,"D","Roman including Samian 1 bag 2001"
"BF",15231,"D","Roman including Samian. 1 bag 2003 Closed Context"
"BF",15234,"D","Nails 1 bag 2001"
"BF",15234,"D","Nails. 40g 2003"
"SF",2560,"D","Iron drill with both ends missing (D.Richards 18/07/02)."
"SF",2866,"D","Tapering shaft fragment; rectangular-square section."
"SF",2866,"C","<SPAN>COLEM: C030319. Date in: 31-03-03. Date finished: 22-04-03. Condition: Thin encrustation of powdery corrosion and soil overlying surface. This has a mid green-brown patina with slight pitting and other areas of loss. This has exposed further friable corrosion although this does not appear to be active. Treatment: Removed corrosion/soil - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum. Rinsed - IMS. Dried - air. Laquered - Incralac, 50% in toluene. </SPAN>"
"BF",15235,"D","Roman 1 bag 2003 Closed Context"
"BF",15237,"D","Quernstone of German lava stone. 2003 Closed Context"
"BF",15238,"D","Animal including teeth. 160g 2003 Closed Context"
"BF",15251,"D","Roman 1 bag 2001"
"BF",15256,"D","13x mixed material tesserae consisting of Dolomite Cementstone x7 (6.567g), Raw material Yellow Burnt Mudstone x1, Raw Material orange burnt Mudstone x1, Raw Material Red Burnt Mudstone x2, Ceramic fabric 3 x2,&nbsp; 2001<br /><span style="
"SF",1461,"D","?Metal-working debris, or from burning.&nbsp;"
"SF",1461,"C","<SPAN>Deselected.</SPAN>"
"BF",15291,"D","1 bag from 1999"
"BF",15294,"D","1 bag"
"BF",15298,"D","1 bag from 1999"
"BF",15292,"D",
"BF",15351,"D","Roman 1 bag, 2000 Roman 1 bag 2001"
"BF",15361,"D","Roman including Samian 1 bag 2001"
"BF",15364,"D","Nail 1 bag, Other 1 bag 2001"
"BF",15367,"D","Unworked Sandstone 1 bag 2001"
"BF",15368,"D","Animal including Teeth 1 bag 2001"
"BF",15369,"D","Plaster (decorated) 2 boxes, 1 bag 2001"
"BF",15421,"D","1 bag"
"BF",15424,"D","2  bags"
"BF",15425,"D","1 bag"
"BF",15426,"D","1 bag"
"BF",15428,"D","1 bag"
"BF",15422,"D",
"BF",15514,"D","1 bag"
"BF",15518,"D","1 bag"
"BF",15518,"D","1 bag from 1999"
"BF",15519,"D","painted wall plaster"
"BF",15520,"D",
"SF",1286,"D","Nauheim Derivative brooch with plain wire bow; half of spring with pin missing; catchplate mainly missing. [30/03/2006. N.Crummy]"
"SF",1286,"C","COLEM: C050895. Date in: 21-09-05. Date finished: 10-03-06. Condition: Incomplete and very deteriorated. Most of surface and overlying corrosion/soil has disintegrated and loose in packaging. Has exposed and roughened surface with pitted, oxidised metal covered with remains of a layer of pale friable corrosion. Traces of a more compact brown/green surface surviving in places but fragile. Treatment: Removed corrosion/soil - small handtools.Degreased - acetone. Stabiliised - BTA, 3% in IMS under vacuum. Rinsed - IMS. Dried - air. Lacquered - Incralac, 50% in toluene."
"BF",15621,"D","1 bag"
"BF",15628,"D","1 bag"
"SF",1860,"D","Lead strip in two fragments. One end is curved slightly downwards and other end is slightly curved upwards"
"BF",15641,"D","1 bag"
"BF",15645,"D","1 bag"
"BF",15642,"D",
"BF",15681,"D","1 bag"
"BF",15688,"D","1 bag"
"BF",15682,"D",
"BF",15691,"D","1 bag Roman including Samian 1 bag 2001"
"BF",15692,"D",
"BF",15694,"D","Nails 1 bag, Other 1 bag 2001"
"BF",15731,"D","Roman 1 bag, 2000"
"BF",15732,"D",
"BF",15741,"D","Roman 1 bag, 2000 Roman including Samian 1 bag 2001"
"BF",15744,"D","Nails 1 bag 2001"
"BF",15742,"D",
"BF",15745,"D","Roman 1 bag 2001"
"BF",15748,"D","Animal 1 bag 2001"
"SF",2344,"D","<p>Convex headed stud</p><p>[N.Crummy 18/05/06]&nbsp;</p>"
"SF",2344,"C","<SPAN>COLEM: C210615, Date in: 06-12-01. Date finished: 17-01-02. Condition: Slight losses to edge of dome.When received was full of compacted burial deposits mixed with bulky corrosion. Some powdery deposits on pin. Beneath these, inner surface of dome has smooth dark green patina, with some small areas of loss, revealing a powdery layer beneath. This overlies a cupritic surface which is entirely exposed upon the outer surface of dome. This appears to have suffered recent abrasion, as has no original surface left. Treatment: Removed&nbsp;burial deposits/corrosion&nbsp;- small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum. Rinsed - IMS. &nbsp;Air dried. Lacquered - Incralac, 50% in toluene. </SPAN>"
"BF",15814,"D","1 bag from 1999"
"BF",15817,"D","1 bag"
"BF",15812,"D","Brick, Flat, 120x90x45, 700g, 2 Swipe Marks, 1999"
"SF",3084,"D","Complete brooch. Encrusted in dirt, so hard to see front plate. Decoration on plate is curved and ribbed. Plate very wide.&nbsp; [sig:21/09/2003 SWILLIAMS]<br /><br /><span>Rosette brooch, tip of foot missing. Circular disc with toothed rosette.</span> [sig:09/11/2004 NCRUMMY]"
